Order ID,Customer ID,Warehouse ID,Customer Age,Customer Gender,Date
1,CUST966,WH004,65,Female,2023-03-04
2,CUST952,WH003,31,Female,2023-04-04
3,CUST987,WH001,25,Female,2023-02-07
4,CUST524,WH001,56,Male,2023-03-22
5,CUST415,WH002,59,Male,2023-11-11
6,CUST160,WH001,36,Female,2023-11-07
7,CUST162,WH003,35,Male,2023-08-26
8,CUST557,WH002,42,Female,2023-03-26
9,CUST737,WH005,27,Male,2023-07-02
10,CUST948,WH003,51,Female,2023-09-01
11,CUST253,WH005,18,Female,2023-06-18
12,CUST116,WH001,33,Female,2023-07-14
13,CUST298,WH005,64,Female,2023-11-17
14,CUST622,WH004,35,Female,2023-06-02
15,CUST148,WH001,63,Female,2023-12-02
16,CUST409,WH004,37,Female,2023-09-04
17,CUST426,WH005,59,Female,2023-04-07
18,CUST303,WH001,28,Female,2023-08-08
19,CUST377,WH003,38,Male,2023-03-23
20,CUST492,WH002,26,Female,2023-12-19
21,CUST071,WH005,49,Male,2023-12-20
22,CUST625,WH004,58,Female,2023-10-01
23,CUST429,WH001,37,Male,2023-02-15
24,CUST442,WH003,27,Male,2023-08-26
25,CUST453,WH003,37,Male,2023-10-09
26,CUST587,WH005,60,Female,2023-02-16
27,CUST509,WH001,33,Male,2023-12-25
28,CUST816,WH004,53,Female,2023-06-11
29,CUST296,WH004,29,Male,2023-10-02
30,CUST872,WH001,43,Female,2023-06-03
31,CUST211,WH005,29,Male,2023-05-13
32,CUST567,WH004,61,Female,2023-12-09
33,CUST340,WH002,46,Female,2023-01-10
34,CUST309,WH003,42,Male,2023-11-17
35,CUST915,WH005,54,Male,2023-01-07
36,CUST444,WH001,34,Male,2023-01-13
37,CUST727,WH003,26,Female,2023-12-04
38,CUST800,WH004,36,Female,2023-09-24
39,CUST321,WH002,18,Male,2023-10-26
40,CUST919,WH005,30,Male,2023-07-07
41,CUST902,WH002,64,Male,2023-05-18
42,CUST680,WH005,46,Female,2023-05-17
43,CUST341,WH002,34,Female,2023-03-16
