Order ID,Product ID,SKU ID,Category,Quantity,Price per Unit
2664,Product_099,SKU_053,Beauty & Personal Care,2,75.67
2664,Product_138,SKU_087,Toys & Games,4,636.36
2664,Product_190,SKU_831,Groceries & Gourmet Food,4,82.44
5028,Product_156,SKU_524,Beauty & Personal Care,3,57.16
9143,Product_126,SKU_651,Beauty & Personal Care,2,35.05
5070,Product_138,SKU_330,Toys & Games,4,731.03
5070,Product_135,SKU_478,Books & Media,5,84.35
1568,Product_085,SKU_419,Books & Media,2,816.37
1568,Product_077,SKU_593,Automotive,3,566.85
1568,Product_128,SKU_600,Home Appliances,1,506.84
4967,Product_042,SKU_200,Books & Media,3,583.74
4967,Product_023,SKU_605,Beauty & Personal Care,3,73.61
8780,Product_168,SKU_121,Groceries & Gourmet Food,2,140.88
8780,Product_053,SKU_929,Automotive,2,99.35
8780,Product_058,SKU_276,Health & Wellness,4,154.92
7688,Product_099,SKU_123,Beauty & Personal Care,2,20.57
7688,Product_093,SKU_613,Books & Media,1,201.42
7688,Product_160,SKU_622,Health & Wellness,2,906.32
6236,Product_091,SKU_646,Books & Media,4,370.54
6236,Product_119,SKU_639,Home Appliances,3,276.21
7684,Product_002,SKU_015,Home Appliances,1,948.19
7684,Product_101,SKU_954,Health & Wellness,5,871.81
7888,Product_053,SKU_443,Automotive,5,254.89
1795,Product_192,SKU_072,Electronics,2,660.98
1795,Product_082,SKU_712,Health & Wellness,4,167.94
2277,Product_067,SKU_819,Home Appliances,3,681.17
2277,Product_017,SKU_014,Beauty & Personal Care,1,57.93
2277,Product_096,SKU_468,Home Appliances,3,849.22
2277,Product_057,SKU_999,Automotive,4,503.76
7211,Product_151,SKU_030,Automotive,2,237.1
7211,Product_123,SKU_264,Automotive,4,294.27
7211,Product_198,SKU_171,Health & Wellness,3,81.91
7211,Product_149,SKU_927,Groceries & Gourmet Food,2,766.83
4980,Product_026,SKU_730,Fashion & Apparel,1,181.09
4980,Product_081,SKU_035,Books & Media,1,133.3
4980,Product_008,SKU_023,Fashion & Apparel,4,752.66
4980,Product_085,SKU_656,Books & Media,5,684.54
5168,Product_182,SKU_573,Beauty & Personal Care,1,51.63
5168,Product_119,SKU_978,Home Appliances,2,441.1
5168,Product_168,SKU_661,Groceries & Gourmet Food,1,368.32
5813,Product_037,SKU_801,Electronics,5,945.23
5813,Product_142,SKU_580,Health & Wellness,2,570.16
5813,Product_136,SKU_407,Groceries & Gourmet Food,3,228.08
7024,Product_036,SKU_836,Sports & Outdoors,1,515.6
7024,Product_190,SKU_282,Groceries & Gourmet Food,4,250.09
7024,Product_086,SKU_385,Electronics,5,391.44
7024,Product_068,SKU_477,Health & Wellness,2,60.35
7308,Product_044,SKU_222,Beauty & Personal Care,1,30.71
7308,Product_096,SKU_274,Home Appliances,1,654.98
7308,Product_083,SKU_206,Toys & Games,5,90.44
2854,Product_123,SKU_432,Automotive,1,592.83
2854,Product_034,SKU_724,Automotive,5,768.33
2854,Product_016,SKU_743,Home Appliances,3,494.87
2091,Product_123,SKU_432,Automotive,3,809.59
2091,Product_149,SKU_927,Groceries & Gourmet Food,1,953.8
2091,Product_106,SKU_778,Books & Media,5,358.61
2091,Product_186,SKU_289,Toys & Games,5,515.65
5860,Product_133,SKU_579,Toys & Games,5,743.02
9983,Product_026,SKU_470,Fashion & Apparel,1,980.05
9983,Product_017,SKU_014,Beauty & Personal Care,5,24.68
5637,Product_063,SKU_226,Health & Wellness,1,446.42
5637,Product_068,SKU_480,Health & Wellness,4,839.43
5637,Product_132,SKU_368,Health & Wellness,4,400.51
5637,Product_145,SKU_374,Fashion & Apparel,4,570.61
5303,Product_193,SKU_946,Fashion & Apparel,3,600.62
